V1	V2	V3
X1_21_47	19.6267642588593	7.90020784940845	-5.09057184892028
X1_42_40	20.0130606445298	1.11878682459894	-5.82072571126193
X1_30_52	4.99240769823223	-6.44621215857196	-18.4367377687107
X1_30_34	17.3287334027007	3.201563125785	-10.7515648317218
X1_25_31	10.0391003281696	-19.2764213653688	-9.64330568356733
X1_26_50	6.20065984842462	-19.4313426626216	-12.9569596762791
X1_32_56	5.9586141363401	4.01774676179312	-24.4354319007386
X1_31_37	17.3361242948656	3.63885993085956	-11.9946365250755
X1_24_30	16.2626512030827	-4.66270417030417	-5.80224821928753
X1_32_36	9.48342471422866	-4.01649899493911	-20.1814635760232
X1_36_58	5.54439653496688	5.96949760944361	-27.0249709046987
X1_22_30	21.1616415037786	5.12455939991104	-2.51715859686431
X1_27_51	6.24945294816864	-19.8445091720589	-12.7844722777136
X1_24_44	12.3934109572869	-5.78629493428434	-7.31235296876956
X1_16_36	-0.546215673029682	-11.3488984831663	-30.0025628609011
X1_42_56	3.9728451961243	-20.8990417646068	-13.3574988705812
X1_20_32	6.33452286946673	6.41230485617317	-27.0843044268724
X1_28_52	6.28291363155106	-12.7310018902585	-21.2048408486941
X1_33_57	6.95715150990562	-15.5141554667831	-14.9776190104042
X1_43_53	8.37974700213153	-10.5993618254532	-21.2719293456503
X1_46_50	4.65995838499524	17.3184608752699	-34.1908255516513
X1_40_36	8.55287646987156	-22.7531331747991	-8.99781839577644
X1_40_34	1.89287815987875	-21.6058419996519	-12.5950036755298
X1_43_55	10.9875872185679	-18.2201844745398	-12.443910444297
X1_40_56	0.370771713892611	-17.8058460937587	-25.5738564595184
X1_43_49	27.9761683725335	-12.58034786861	8.367263279407
X1_17_37	-1.96582055828691	-9.87980352907979	-25.5967184732472
X1_41_57	6.72061765250819	-15.6087856410899	-19.3498347397921
X1_22_38	4.47362910627601	6.79028516607734	-29.6111600356016
X1_23_47	23.4690405720453	-4.27711044624335	4.42576697369643
X1_32_54	6.70032418210855	12.4319053599908	-27.389517870874
X1_47_49	4.73015591442554	18.0355772343508	-33.4904534306298
X1_37_57	5.93480059613369	-7.44872288878226	-20.0970844523196
X1_26_38	17.4180088619994	3.72338289722297	-12.1713283608909
X1_19_39	9.9605927535109	-6.92581281835762	-13.8511040818384
X1_30_32	12.808642394006	-19.3218788771705	-8.78742053825495
X1_31_31	16.4025091411885	-4.59188272517435	-8.2158893383614
X1_48_44	10.5724024489594	-4.5745309890279	-22.536868834969
X1_33_55	8.69923584068935	13.7181756513541	-28.1642029253448
X1_20_38	3.20455930893207	-16.5246246268882	-15.2707890030743
X1_22_40	9.21856946478465	15.1970426181025	-28.2326649564979
X1_43_39	2.04626249360212	-21.4791131485715	-12.9835742995758
X1_28_40	3.72967875881592	-15.6269386785354	-14.0401936466826
X1_33_45	15.2757243807553	1.87995819415441	-5.51929124849235
X1_16_38	3.23709950522686	-13.6081538431853	-13.0720438493376
X1_32_48	5.5851836927166	3.67745500198522	-23.8098216205878
X1_22_42	22.4747524539739	-0.711445336320532	-1.06487925430474
X1_25_49	4.26026821818958	-10.7709299857789	-15.3941437175232
X1_37_55	4.65998687450882	3.49413911117717	-23.1320777237696
X1_31_35	17.2245620432381	1.24445393801335	-12.4526680992989
X1_34_48	16.3037109497767	-4.5717279445233	-6.68668009891794
X1_25_45	17.8135248181961	2.57509283992902	-11.5379348848485
X1_39_57	4.81889422076218	-20.4859641793286	-13.2691356468972
X1_34_32	5.22490921394491	3.99916017233047	-23.6494726528599
