x,y,score,sample,section
711,18,31,0,RA2,Section1
712,18,32,0,RA2,Section1
713,18,33,0,RA2,Section1
714,18,34,0,RA2,Section1
715,18,35,0,RA2,Section1
716,18,36,0,RA2,Section1
717,18,37,0,RA2,Section1
718,18,38,0,RA2,Section1
719,18,39,0,RA2,Section1
720,18,40,NA,RA2,Section1
721,19,1,NA,RA2,Section1
722,19,2,0.534685059820773,RA2,Section1
723,19,3,0.131188483557954,RA2,Section1
724,19,4,0.290551206200525,RA2,Section1
725,19,5,0.399644558353556,RA2,Section1
726,19,6,0.145363764279506,RA2,Section1
727,19,7,0,RA2,Section1
728,19,8,0,RA2,Section1
729,19,9,0,RA2,Section1
730,19,10,0.558012111411383,RA2,Section1
731,19,11,0.744016148548424,RA2,Section1
732,19,12,0.0930020185685888,RA2,Section1
733,19,13,0,RA2,Section1
734,19,14,0,RA2,Section1
735,19,15,0,RA2,Section1
736,19,16,0,RA2,Section1
737,19,17,0,RA2,Section1
738,19,18,0.185444350678681,RA2,Section1
739,19,19,0.842083928536311,RA2,Section1
740,19,20,0.942390454357862,RA2,Section1
741,19,21,0.283854788879682,RA2,Section1
742,19,22,0,RA2,Section1
743,19,23,0,RA2,Section1
744,19,24,0,RA2,Section1
745,19,25,0,RA2,Section1
746,19,26,0,RA2,Section1
747,19,27,0,RA2,Section1
748,19,28,0.131328004646348,RA2,Section1
749,19,29,0.525312018585396,RA2,Section1
750,19,30,0.328320011615871,RA2,Section1
751,19,31,0,RA2,Section1
752,19,32,0,RA2,Section1
753,19,33,0,RA2,Section1
754,19,34,0,RA2,Section1
755,19,35,0,RA2,Section1
756,19,36,0,RA2,Section1
757,19,37,0,RA2,Section1
758,19,38,0,RA2,Section1
759,19,39,0,RA2,Section1
760,19,40,NA,RA2,Section1
761,20,1,NA,RA2,Section1
762,20,2,0.350970046011409,RA2,Section1
763,20,3,0.257698892837737,RA2,Section1
764,20,4,0.345793716845355,RA2,Section1
765,20,5,0.399456481171267,RA2,Section1
766,20,6,0.145316744983937,RA2,Section1
767,20,7,0,RA2,Section1
768,20,8,0,RA2,Section1
769,20,9,0,RA2,Section1
770,20,10,0.0620013457124466,RA2,Section1
771,20,11,0.248005382849591,RA2,Section1
